,0,,
0,0,,
1,0,,
2,0,,
3,0,,
4,0,,
5,0,,
6,0,,
7,315.9385083,1,315.9385083
8,27.51890116,2,343.4574095
9,304.4154246,3,647.8728341
10,-614.0788961,4,33.79393798
11,-122.0378355,5,-88.24389752
12,1083.589318,6,995.3454208
13,355.4024177,7,1350.747838
14,687.6730171,8,2038.420855
15,192.1527569,9,2230.573612
16,946.2141606,10,3176.787773
17,-79.98573945,11,3096.802034
18,-396.2397606,12,2700.562273
19,1299.566901,13,4000.129174
20,479.3014191,14,4479.430593
21,285.0948493,15,4764.525442
22,1109.563213,16,5874.088655
23,368.1599948,17,6242.24865
24,-245.2158102,18,5997.032839
25,9.751637136,19,6006.784477
26,-150.5793316,20,5856.205145
27,-695.2741452,21,5160.931
28,-331.1687733,22,4829.762226
29,-1205.121969,23,3624.640257
30,132.2316705,24,3756.871928
31,-148.0550002,25,3608.816927
32,310.7857347,26,3919.602662
33,75.29060488,27,3994.893267
34,430.6330102,28,4425.526277
35,-397.7911387,29,4027.735139
36,581.2399681,30,4608.975107
37,-140.4054809,31,4468.569626
38,-876.9876582,32,3591.581968
39,332.1798815,33,3923.761849
40,548.3538935,34,4472.115743
41,-14.10103436,35,4458.014708
42,-345.2931309,36,4112.721577
43,4.119140024,37,4116.840717
44,-225.7646967,38,3891.076021
45,-122.6114551,39,3768.464566
46,-160.7643917,40,3607.700174
47,142.0056789,41,3749.705853
48,-1085.365606,42,2664.340246
49,208.1258073,43,2872.466054
50,-483.1455183,44,2389.320535
51,154.8856881,45,2544.206224
52,-398.8443036,46,2145.36192
53,62.30078353,47,2207.662703
54,697.2576899,48,2904.920393
55,-15.70085972,49,2889.219534
56,272.2528351,50,3161.472369
57,-244.3312292,51,2917.14114
58,1002.506451,52,3919.64759
59,370.7217337,53,4290.369324
60,-244.6159514,54,4045.753372
61,399.4449817,55,4445.198354
62,183.4593234,56,4628.657677
63,-39.76952264,57,4588.888155
64,333.3066235,58,4922.194778
65,-97.20553212,59,4824.989246
66,-65.74242438,60,4759.246822
67,-15.91501876,61,4743.331803
68,-246.4299689,62,4496.901834
69,-261.3108745,63,4235.59096
70,370.6084813,64,4606.199441
71,464.0188611,65,5070.218302
72,396.9915435,66,5467.209846
73,1042.24483,67,6509.454676
74,133.6234724,68,6643.078148
75,-615.1100354,69,6027.968113
76,204.1975136,70,6232.165626
77,32.436651,71,6264.602277
78,998.5691369,72,7263.171414
79,744.7635693,73,8007.934984
80,105.5095472,74,8113.444531
81,-590.9820417,75,7522.462489
82,-1234.700125,76,6287.762364
83,-1329.588005,77,4958.174359
84,1196.802198,78,6154.976557
85,-706.5542694,79,5448.422288
86,41.4005456,80,5489.822833
87,2550.939461,81,8040.762294
88,262.7909122,82,8303.553206
89,-705.7292454,83,7597.823961
90,343.2034116,84,7941.027373
91,1138.671271,85,9079.698644
92,-432.7656107,86,8646.933033
93,-519.0197738,87,8127.913259
94,-1042.204928,88,7085.708331
95,-1379.448122,89,5706.260209
96,0.570059704,90,5706.830269
97,610.8418294,91,6317.672098
98,-1085.106793,92,5232.565305
99,-359.1471268,93,4873.418178
100,-2365.354378,94,2508.0638
101,-5128.662737,95,-2620.598937
102,322.6719572,96,-2297.92698
103,1051.214692,97,-1246.712287
104,467.501351,98,-779.2109365
105,1282.653178,99,503.4422416
106,367.4378593,100,870.8801009
107,682.9022169,101,1553.782318
108,1241.784693,102,2795.567011
109,-779.5460901,103,2016.02092
110,11.12269277,104,2027.143613
111,497.4605535,105,2524.604167
112,-1253.62572,106,1270.978447
113,-2320.240816,107,-1049.262369
114,219.5000463,108,-829.7623227
115,-1323.207153,109,-2152.969475
116,488.3280806,110,-1664.641395
117,104.8803825,111,-1559.761012
118,245.1737765,112,-1314.587236
119,-1366.234567,113,-2680.821802
120,-46.44981038,114,-2727.271613
121,-465.7309632,115,-3193.002576
122,750.8751632,116,-2442.127413
123,626.9745584,117,-1815.152854
124,401.295408,118,-1413.857446
125,311.2256246,119,-1102.631822
126,115.2733136,120,-987.3585083
127,1591.259796,121,603.9012876
128,715.6558639,122,1319.557152
129,-1014.852081,123,304.7050703
130,244.1356436,124,548.8407138
131,-1083.168531,125,-534.3278172
132,-289.4634823,126,-823.7912995
